iter	Passed	Remaining
602	1658	1091
603	1660	1088
604	1663	1085
605	1666	1083
606	1668	1080
607	1670	1077
608	1673	1074
609	1675	1071
610	1677	1068
611	1679	1064
612	1681	1061
613	1684	1058
614	1686	1055
615	1689	1053
616	1691	1050
617	1694	1047
618	1696	1044
619	1698	1041
620	1701	1038
621	1703	1035
622	1705	1032
623	1708	1029
624	1710	1026
625	1712	1023
626	1714	1020
627	1717	1017
628	1719	1014
629	1722	1011
630	1724	1008
631	1726	1005
632	1729	1002
633	1731	999
634	1734	996
635	1736	993
636	1738	990
637	1741	987
638	1743	985
639	1747	983
640	1749	980
641	1752	977
642	1755	974
643	1758	971
644	1760	968
645	1762	965
646	1764	962
647	1767	960
648	1769	956
649	1771	953
650	1773	950
651	1776	947
652	1779	945
653	1781	942
654	1783	939
655	1785	936
656	1788	933
657	1790	930
658	1792	927
659	1794	924
660	1797	921
661	1799	918
662	1802	916
663	1805	913
664	1807	910
665	1810	907
666	1812	904
667	1814	901
668	1817	899
669	1819	896
670	1822	893
671	1824	890
672	1827	887
673	1829	884
674	1831	881
675	1833	878
676	1836	876
677	1838	873
678	1840	870
679	1843	867
680	1845	864
681	1847	861
682	1849	858
683	1851	855
684	1854	852
685	1856	849
686	1858	846
687	1860	843
688	1862	840
689	1865	837
690	1867	835
691	1869	832
692	1871	829
693	1873	826
694	1875	823
695	1877	820
696	1879	817
697	1881	814
698	1883	811
699	1885	808
700	1887	805
701	1889	802
702	1891	799
703	1894	796
704	1896	793
705	1897	790
706	1899	787
707	1901	784
708	1904	781
709	1906	778
710	1908	775
711	1910	772
712	1912	770
713	1915	767
714	1918	764
715	1920	761
716	1922	758
717	1924	755
718	1926	753
719	1928	750
720	1931	747
721	1933	744
722	1935	741
723	1937	738
724	1939	735
725	1941	732
726	1944	730
727	1946	727
728	1948	724
729	1950	721
730	1953	718
731	1955	716
732	1958	713
733	1960	710
734	1962	707
735	1965	704
736	1967	701
737	1969	699
738	1971	696
739	1973	693
740	1975	690
741	1978	687
742	1980	684
743	1982	682
744	1985	679
745	1987	676
746	1989	673
747	1991	671
748	1994	668
749	1996	665
750	1997	662
751	2000	659
752	2002	656
753	2004	654
754	2007	651
755	2009	648
756	2011	645
757	2013	642
758	2016	640
759	2018	637
760	2020	634
761	2022	631
762	2024	628
763	2027	626
764	2029	623
765	2031	620
766	2033	617
767	2035	614
